#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: http://w3id.org/lambda/
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-03-12
#curie_map: 
# lambda: http://w3id.org/lambda/
# lambdaber: http://w3id.org/lambda/
# linkml: https://w3id.org/linkml/
# dcterms: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# prov: http://www.w3.org/ns/prov#
# sio: http://semanticscience.org/resource/
# nmdc: https://w3id.org/nmdc/
# NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
# UBERON: http://purl.obolibrary.org/obo/UBERON_
# CL: http://purl.obolibrary.org/obo/CL_
# GO: http://purl.obolibrary.org/obo/GO_
# nsls2: https://github.com/NSLS2/BER-LAMBDA/
# imgCIF: https://github.com/dials/cbflib/blob/main/doc/cif_img_1.8.6.dic#
# mmCIF: http://mmcif.wwpdb.org/dictionaries/mmcif_pdbx_v50.dic/Items/
# ROR: https://ror.org/
# wikidata: http://www.wikidata.org/entity/
# CHMO: http://purl.obolibrary.org/obo/CHMO_
# pdb: https://www.rcsb.org/structure/
# sasbdb: https://www.sasbdb.org/data/
# simplescattering: https://www.simplescattering.com/open_dataset/
# ispyb: https://ispyb.github.io/ISPyB/
# PaNET: http://purl.org/pan-science/PaNET/PaNET
# UO: http://purl.obolibrary.org/obo/UO_
# emsl: https://api.emsl.pnnl.gov/external/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
lambda:crystallization_conditions	crystallizationConditions__crystallization_conditions	skos:exactMatch		nsls2:Conditions		skos:exactMatch	http://w3id.org/lambda/									
lambda:crystallization_conditions	crystallizationConditions__crystallization_conditions	skos:exactMatch		mmCIF:_exptl_crystal_grow.pdbx_details		skos:exactMatch	http://w3id.org/lambda/									
lambda:drop_volume	crystallizationConditions__drop_volume	skos:exactMatch		nsls2:Drop_Volume		skos:exactMatch	http://w3id.org/lambda/									
lambda:method	crystallizationConditions__method	skos:exactMatch		nsls2:Method		skos:exactMatch	http://w3id.org/lambda/									
lambda:method	crystallizationConditions__method	skos:exactMatch		mmCIF:_exptl_crystal_grow.method		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_x_px	dataCollectionStrategy__beam_center_x_px	skos:exactMatch		mmCIF:_diffrn_detector.beam_center_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_y_px	dataCollectionStrategy__beam_center_y_px	skos:exactMatch		mmCIF:_diffrn_detector.beam_center_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_distance_mm	dataCollectionStrategy__detector_distance_mm	skos:exactMatch		mmCIF:_diffrn_detector.distance		skos:exactMatch	http://w3id.org/lambda/									
lambda:flux_photons_per_s	dataCollectionStrategy__flux_photons_per_s	skos:exactMatch		mmCIF:_diffrn_source.pdbx_flux		skos:exactMatch	http://w3id.org/lambda/									
lambda:oscillation_per_image_deg	dataCollectionStrategy__oscillation_per_image_deg	skos:exactMatch		mmCIF:_diffrn_scan.angle_increment		skos:exactMatch	http://w3id.org/lambda/									
lambda:pixel_size_calibrated	dataCollectionStrategy__pixel_size_calibrated	skos:exactMatch		mmCIF:_em_image_recording.calibrated_pixel_size		skos:exactMatch	http://w3id.org/lambda/									
lambda:temperature_k	dataCollectionStrategy__temperature_k	skos:exactMatch		mmCIF:_diffrn.ambient_temp		skos:exactMatch	http://w3id.org/lambda/									
lambda:total_rotation_deg	dataCollectionStrategy__total_rotation_deg	skos:exactMatch		mmCIF:_diffrn_scan_axis.angle_range		skos:exactMatch	http://w3id.org/lambda/									
lambda:wavelength_a	dataCollectionStrategy__wavelength_a	skos:exactMatch		mmCIF:_diffrn_radiation_wavelength.wavelength		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_x	experimentRun__beam_center_x	skos:exactMatch		nsls2:Beam_xy_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_x	experimentRun__beam_center_x	skos:exactMatch		imgCIF:_diffrn_detector.beam_centre_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_x	experimentRun__beam_center_x	skos:exactMatch		mmCIF:_diffrn_detector.beam_center_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_x	experimentRun__beam_center_x	skos:exactMatch		ispyb:DataCollection.xBeam		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_y	experimentRun__beam_center_y	skos:exactMatch		nsls2:Beam_xy_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_y	experimentRun__beam_center_y	skos:exactMatch		imgCIF:_diffrn_detector.beam_centre_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_y	experimentRun__beam_center_y	skos:exactMatch		mmCIF:_diffrn_detector.beam_center_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:beam_center_y	experimentRun__beam_center_y	skos:exactMatch		ispyb:DataCollection.yBeam		skos:exactMatch	http://w3id.org/lambda/									
lambda:beamline	experimentRun__beamline	skos:exactMatch		nsls2:Beamline		skos:exactMatch	http://w3id.org/lambda/									
lambda:beamline	experimentRun__beamline	skos:exactMatch		mmCIF:_diffrn_source.pdbx_synchrotron_beamline		skos:exactMatch	http://w3id.org/lambda/									
lambda:beamline	experimentRun__beamline	skos:exactMatch		ispyb:BLSession.beamLineName		skos:exactMatch	http://w3id.org/lambda/									
lambda:calibrated_pixel_size	experimentRun__calibrated_pixel_size	skos:exactMatch		mmCIF:_em_image_recording.calibrated_pixel_size		skos:exactMatch	http://w3id.org/lambda/									
lambda:defocus_range_max	experimentRun__defocus_range_max	skos:exactMatch		mmCIF:_em_imaging.nominal_defocus_max		skos:exactMatch	http://w3id.org/lambda/									
lambda:defocus_range_min	experimentRun__defocus_range_min	skos:exactMatch		mmCIF:_em_imaging.nominal_defocus_min		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_distance	experimentRun__detector_distance	skos:exactMatch		nsls2:Detector_distance		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_distance	experimentRun__detector_distance	skos:exactMatch		imgCIF:_diffrn_measurement.sample_detector_distance		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_distance	experimentRun__detector_distance	skos:exactMatch		mmCIF:_diffrn_detector.distance		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_distance	experimentRun__detector_distance	skos:exactMatch		ispyb:DataCollection.detectorDistance		skos:exactMatch	http://w3id.org/lambda/									
lambda:end_time	experimentRun__end_time	skos:exactMatch		ispyb:DataCollection.endTime		skos:exactMatch	http://w3id.org/lambda/									
lambda:exposure_time	experimentRun__exposure_time	skos:exactMatch		ispyb:DataCollection.exposureTime		skos:exactMatch	http://w3id.org/lambda/									
lambda:exposure_time_per_frame	experimentRun__exposure_time_per_frame	skos:exactMatch		mmCIF:_em_image_recording.average_exposure_time		skos:exactMatch	http://w3id.org/lambda/									
lambda:flux	experimentRun__flux	skos:exactMatch		ispyb:DataCollection.flux		skos:exactMatch	http://w3id.org/lambda/									
lambda:flux_end	experimentRun__flux_end	skos:exactMatch		ispyb:DataCollection.flux_end		skos:exactMatch	http://w3id.org/lambda/									
lambda:frames_per_movie	experimentRun__frames_per_movie	skos:exactMatch		mmCIF:_em_image_recording.num_frames_per_image		skos:exactMatch	http://w3id.org/lambda/									
lambda:magnification	experimentRun__magnification	skos:exactMatch		mmCIF:_em_imaging.nominal_magnification		skos:exactMatch	http://w3id.org/lambda/									
lambda:oscillation_angle	experimentRun__oscillation_angle	skos:exactMatch		nsls2:Angle_increment		skos:exactMatch	http://w3id.org/lambda/									
lambda:oscillation_angle	experimentRun__oscillation_angle	skos:exactMatch		imgCIF:_diffrn_scan_axis.angle_increment		skos:exactMatch	http://w3id.org/lambda/									
lambda:oscillation_angle	experimentRun__oscillation_angle	skos:exactMatch		mmCIF:_diffrn_scan.angle_increment		skos:exactMatch	http://w3id.org/lambda/									
lambda:oscillation_angle	experimentRun__oscillation_angle	skos:exactMatch		ispyb:DataCollection.axisRange		skos:exactMatch	http://w3id.org/lambda/									
lambda:pixel_size_x	experimentRun__pixel_size_x	skos:exactMatch		nsls2:Pixel_size_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:pixel_size_x	experimentRun__pixel_size_x	skos:exactMatch		imgCIF:_array_element_size.size		skos:exactMatch	http://w3id.org/lambda/									
lambda:pixel_size_y	experimentRun__pixel_size_y	skos:exactMatch		nsls2:Pixel_size_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:pixel_size_y	experimentRun__pixel_size_y	skos:exactMatch		imgCIF:_array_element_size.size		skos:exactMatch	http://w3id.org/lambda/									
lambda:resolution	experimentRun__resolution	skos:exactMatch		ispyb:DataCollection.resolution		skos:exactMatch	http://w3id.org/lambda/									
lambda:resolution_at_corner	experimentRun__resolution_at_corner	skos:exactMatch		ispyb:DataCollection.resolutionAtCorner		skos:exactMatch	http://w3id.org/lambda/									
lambda:slit_gap_horizontal	experimentRun__slit_gap_horizontal	skos:exactMatch		ispyb:DataCollection.slitGapHorizontal		skos:exactMatch	http://w3id.org/lambda/									
lambda:slit_gap_vertical	experimentRun__slit_gap_vertical	skos:exactMatch		ispyb:DataCollection.slitGapVertical		skos:exactMatch	http://w3id.org/lambda/									
lambda:start_angle	experimentRun__start_angle	skos:exactMatch		nsls2:Start_angle		skos:exactMatch	http://w3id.org/lambda/									
lambda:start_angle	experimentRun__start_angle	skos:exactMatch		imgCIF:_diffrn_scan_axis.angle_start		skos:exactMatch	http://w3id.org/lambda/									
lambda:start_angle	experimentRun__start_angle	skos:exactMatch		ispyb:DataCollection.axisStart		skos:exactMatch	http://w3id.org/lambda/									
lambda:start_time	experimentRun__start_time	skos:exactMatch		ispyb:DataCollection.startTime		skos:exactMatch	http://w3id.org/lambda/									
lambda:synchrotron_mode	experimentRun__synchrotron_mode	skos:exactMatch		ispyb:DataCollection.synchrotronMode		skos:exactMatch	http://w3id.org/lambda/									
lambda:total_dose	experimentRun__total_dose	skos:exactMatch		mmCIF:_em_image_recording.avg_electron_dose_per_image		skos:exactMatch	http://w3id.org/lambda/									
lambda:total_rotation	experimentRun__total_rotation	skos:exactMatch		nsls2:Total_rotation_deg		skos:exactMatch	http://w3id.org/lambda/									
lambda:total_rotation	experimentRun__total_rotation	skos:exactMatch		imgCIF:_diffrn_scan_axis.angle_range		skos:exactMatch	http://w3id.org/lambda/									
lambda:transmission	experimentRun__transmission	skos:exactMatch		ispyb:DataCollection.transmission		skos:exactMatch	http://w3id.org/lambda/									
lambda:undulator_gap	experimentRun__undulator_gap	skos:exactMatch		ispyb:DataCollection.undulatorGap1		skos:exactMatch	http://w3id.org/lambda/									
lambda:wavelength	experimentRun__wavelength	skos:exactMatch		nsls2:Wavelength		skos:exactMatch	http://w3id.org/lambda/									
lambda:wavelength	experimentRun__wavelength	skos:exactMatch		imgCIF:_diffrn_radiation_wavelength.wavelength		skos:exactMatch	http://w3id.org/lambda/									
